ModelEventID,OccYear,Factor
410040157,3044,1
410040668,3083,1
410041563,3148,0
410041741,3161,0
410041757,3162,1
410042081,3186,1
410042275,3201,1
410044997,3402,1
410107889,8122,1
410108026,8132,1
410108139,8140,1
410108182,8144,1
410108840,8197,1
410108899,8201,1
410109482,8243,1
410110261,8298,1
410110734,8333,1
410110990,8351,1
410111456,8387,1
410112032,8429,1
410112317,8452,1
410112669,8477,1
410112729,8482,1
410113441,8534,1
410114155,8587,1
410114267,8596,1
410114283,8596,1
410114361,8602,1
410114500,8615,1
410114665,8628,1
410114715,8631,1
410051393,3885,1
410052706,3989,0
410052861,4001,0
410053923,4076,0
410055125,4165,1
410055339,4179,0
410055428,4186,0
410055882,4221,1
410056600,4271,1
410058135,4390,0
410059216,4472,0
410059475,4492,1
410059623,4503,0
410060034,4535,0
410060123,4541,1
410061216,4624,0
410061387,4636,1
410062041,4688,1
410062587,4732,1
410064024,4838,0
410064273,4857,1
410002161,161,1
410002278,168,1
410003253,244,1
410003440,256,1
410003561,265,1
410003951,298,1
410004375,332,1
410005132,389,1
410005629,428,1
410005882,447,1
410006055,460,1
410006107,465,1
410006948,526,1
410007835,593,1
410009090,690,1
410009412,714,1
410009445,716,1
410013977,1073,1
410014354,1100,1
410015625,1200,1
410015943,1224,1
410016105,1237,1
410032590,2477,1
410033779,2568,1
410033939,2579,1
410034258,2604,1
410034559,2627,1
410035818,2720,1
