Analysis,ExposureAttribute,CatalogTypeCode,EventID,ModelCode,YearID,PerilSetCode,GroundUpLoss,GrossLoss,NetOfPreCatLoss
EU_WS_GCAdj,HSA_HH_EU_PT,HIST    ,25,41,17,1,53.0701671402065,51.9444070902617,51.9444070902617
EU_WS_GCAdj,HSA_HH_UK,HIST    ,22,41,14,1,973.032490800397,920.308127862757,920.308127862757
EU_WS_GCAdj,S33_HH_EU_ES,RDS     ,3,41,129,1,1.41855199897205,1.17789541171413,1.17789541171413
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,38,41,23,1,381404.546493972,365992.758640576,365992.758640576
EU_WS_GCAdj,S33_HH_EU_BE,HIST    ,25,41,17,1,1312.01251442836,1274.93044465855,1274.93044465855
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,24,41,16,1,195996.231687356,193306.157574765,193306.157574765
EU_WS_GCAdj,HSA_HH_EU_FR,RDS     ,1,41,127,1,1416508.1390284,1387742.17200736,1387574.5669106
EU_WS_GCAdj,S33_HH_UK,HIST    ,25,41,17,1,74.4544501196057,72.3363695665109,72.3363695665109
EU_WS_GCAdj,HSA_COMM_UK,HIST    ,4,41,4,1,56.1590281822679,55.7605487109382,55.7605487109382
EU_WS_GCAdj,HSA_HH_UK,RDS     ,2,41,128,1,64013.3004682755,60966.0384583092,60966.0384583092
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,29,41,20,1,358202.245353288,350011.767154586,350011.767154586
EU_WS_GCAdj,HSA_HH_UK,HIST    ,38,41,23,1,158.945098486012,147.106994980098,147.106994980098
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,30,41,21,1,669832.09899772,640183.978847261,640183.978847261
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,19,41,13,1,293214.809529883,279489.43390318,279489.43390318
EU_WS_GCAdj,S33_HH_Lloyds,HIST    ,8,41,6,1,14649.4167396579,14304.2400066092,14304.2400066092
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,14,41,9,1,1753085.92774754,1734273.21280677,1734273.21280677
EU_WS_GCAdj,HSA_COMM_EU_FR,HIST    ,38,41,23,1,4040.00055434743,3979.25421971514,3979.25421971514
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,25,41,17,1,14221.6049994401,13068.3192788858,13068.3192788858
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,29,41,20,1,5176.16778131115,4594.61792599158,4594.61792599158
EU_WS_GCAdj,HSA_HH_EU_FR,HIST    ,35,41,23,1,27.649119979964,26.8618378654838,26.8618378654838
EU_WS_GCAdj,S33_HH_EU_FR,HIST    ,26,41,18,1,312.886719773266,307.883493578081,307.883493578081
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,23,41,15,1,506143.852251467,489764.189660811,489764.189660811
EU_WS_GCAdj,HSA_HH_UK,HIST    ,14,41,9,1,17614.8078724755,16833.054681998,16833.054681998
EU_WS_GCAdj,HSA_HH_EU_ES,RDS     ,5,41,131,1,4684.48776646501,4649.99692588107,4649.99692588107
EU_WS_GCAdj,HSA_HH_EU_ES,HIST    ,5,41,5,1,539.949498642069,500.894120580541,500.894120580541
EU_WS_GCAdj,S33_HH_Lloyds,HIST    ,5,41,5,1,2372.40897708226,2309.33585996499,2309.33585996499
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,26,41,18,1,172588.017592812,167582.938235512,167320.706936859
EU_WS_GCAdj,HSA_HH_EU_DE,RDS     ,4,41,130,1,5324289.21958117,5173466.74841155,5152569.79980979
EU_WS_GCAdj,HSA_COMM_EU_DE,HIST    ,4,41,4,1,4842.27128870512,4304.87595365965,4304.87595365965
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,18,41,12,1,263.401850743709,251.62140990057,251.62140990057
EU_WS_GCAdj,S33_HH_EU_DE,HIST    ,38,41,23,1,1479.52324149804,1468.28944477185,1468.28944477185
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,15,41,9,1,485118.857274584,475618.816216652,475618.816216652
EU_WS_GCAdj,HSA_COMM_EU_IE,HIST    ,3,41,3,1,177907.888076679,173643.353222486,173643.353222486
EU_WS_GCAdj,HSA_HH_UK,HIST    ,27,41,18,1,49.5744521695668,46.3011883856012,46.3011883856012
EU_WS_GCAdj,HIG_HH_GU,HIST    ,15,41,9,1,3786.76378291621,3785.87982069933,3785.87982069933
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,3,41,3,1,4946468.73925073,4831769.0534709,4826353.64014087
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,21,41,14,1,38668.3143701977,36582.1062765388,36582.1062765388
EU_WS_GCAdj,HSA_HH_EU_DE,HIST    ,32,41,21,1,23173.0049802535,22432.9538159951,22432.9538159951
EU_WS_GCAdj,S33_HH_EU_NL,HIST    ,22,41,14,1,711.161245890534,702.538762267504,702.538762267504
EU_WS_GCAdj,HSA_HH_EU_ES,HIST    ,16,41,10,1,33.6000008601828,33.2056606383545,33.2056606383545
EU_WS_GCAdj,HSA_HH_EU_IE,HIST    ,35,41,23,1,26726.4309250214,26256.4114156739,26256.4114156739
EU_WS_GCAdj,HSA_HH_EU_NL,HIST    ,20,41,14,1,183.349941554148,176.086824334937,176.086824334937
